Gene,Coef
FUT8,0
CKS2,0
SYNJ2,0
ARL2,0
DNM1L,0
YEATS4,0
XRCC4,0.141025259
MYBL1,0
HIRIP3,0
HRAS,0
SIGMAR1,0
MAK16,-0.036287162
CREB5,0
IFT74,0
SOCS5,0
CEP68,0
PPP1R12B,-0.040602783
ADAT1,0
ASCC3,0
PLEKHF1,0
RBM28,0
ST3GAL5,-0.110581021
ZBTB16,0
ZNF318,0
SLC16A1,0
TIMM13,0
ANKRD40,0
ALPK1,0
SLC2A6,0
WWP1,0
PFDN4,0
ENOX2,0
BRCC3,0
TRAF5,-0.022500526
CEBPG,0
IKZF4,0
CAAP1,0
LTBP3,0
